Rxns,L-arabinose,D-fructose,D-galactose,D-galacturonic acid,D-glucose,D-glucuronic acid,D-mannose,L-rhamnose,D-xylose,averageFlux,log2FC_L-arabinose,log2FC_D-fructose,log2FC_D-galactose,log2FC_D-galacturonic acid,log2FC_D-glucose,log2FC_D-glucuronic acid,log2FC_D-mannose,log2FC_L-rhamnose,log2FC_D-xylose
PSPHPL,0.0,0.0,0.0,0.0191004810509751,0.0,0.0,0.0,0.0,0.0232670984003437,0.0047075088279243,,,,2.0205732679778707,,,,,2.305255600533849
PStg_SC_f,0.0,0.0,0.0,0.0,0.0,0.0547349735123885,0.0,0.0,0.0,0.0060816637235987,,,,,,3.1699250014423175,,,
PStm_SC_b,0.0,6.66666666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40740740740741e-06,,3.1699250014423126,,,,,,,
PStm_SC_f,0.0,0.0,0.0,0.0001333333333333,0.0,0.0,3.33333333333333e-05,0.0001,0.0,2.96296296296296e-05,,,,2.1699250014419533,,,0.16992500144231235,1.75488750216347,
PStv_SC_b,0.0,0.0,0.0,0.0,0.0,3.33333333333333e-05,0.0,0.0,0.0,3.7037037037037e-06,,,,,,3.169925001442312,,,
PStv_SC_f,0.0,0.0,0.0,0.0,0.0,0.0058657762444586,0.0,0.0,0.0,0.0006517529160509,,,,,,3.169925001442435,,,
PTD1INOtn_SC_b,0.0,0.0,0.0,0.0,0.0042211670358171,0.0,0.0,0.0,0.0,0.0004690185595352,,,,,3.1699250014424147,,,,
PUNP1m_b,0.0,0.0,0.0,0.0,0.0,0.0016869192057996,0.0,0.0,0.0,0.000187435467311,,,,,,3.1699250014428255,,,
PUNP1m_f,0.0012985353983184,0.0021936986498524,0.0022746483796798,0.0012713549008175,0.0018746274329808,0.0,0.0022079817046749,0.0022325835840564,0.001402736317637,0.0016395740408908,-0.33643571062049016,0.42004430186415564,0.4723224941556793,-0.3669542360451399,0.1932828468320202,,0.42940716469173656,0.4453931350470394,-0.2250772125559909
PUNP3_b,0.0,6.66666666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40740740740741e-06,,3.1699250014423126,,,,,,,
PUNP7_b,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,1.11111111111111e-05,,,,,,3.169925001442314,,,
PUNP7_f,0.0001382787145997,9.99999999999963e-05,0.0001607207185635,0.0001234987119158,0.0001607199426002,0.0,0.0001607207182546,0.000156775345041,0.0001387774489303,0.0001266101777672,0.12718571504570397,-0.3403933828395759,0.3441625364792168,-0.03589738817433552,0.3441555710977942,,0.34416253370640365,0.30830531192083227,0.13237976894075937
PYAM5PO,0.0,0.0,0.0,0.0,0.0,0.351268032333643,0.0,0.0,0.0,0.0390297813704047,,,,,,3.1699250014423153,,,
PYDAMK,0.365735088375959,0.417251009463388,0.417089781109557,0.371455239081383,0.421728933071205,0.0,0.417089780502511,0.420271829066758,0.366512672462595,0.355237148125928,0.04201658833505282,0.23213308376545572,0.23157550980516028,0.06440591813457983,0.24753354616304235,,0.231575507705415,0.2425402993293987,0.04508062536551306
PYDXK,5e-05,5e-05,5e-05,5e-05,0.0,1.40458213600854,5e-05,0.0001,5e-05,0.156109126223171,-11.608339165168474,-11.608339165168474,-11.608339165168474,-11.608339165168474,,3.169514206055995,-11.608339165168474,-10.608339165168474,-11.608339165168474
PYDXNK,1.55192218701085,1.66226033091003,1.66050909130213,1.61762659747967,1.6439389945218,0.0,1.66027857951545,1.83834991784193,1.56842288472368,1.46703428703395,0.08115363338042417,0.1802437544317745,0.17872303203992382,0.1409760341629375,0.16425417297288558,,0.17852274328616452,0.3255088107073099,0.09641200776963961
PYRDC2,0.0,0.0002710312564127,0.0001806873198452,0.0,0.0,0.0,9.03446154462852e-05,0.0,0.0001052181180011,7.19201455228218e-05,,1.913991393449121,1.3290274201508374,,,,0.32904267879757887,,0.5489153053360947
PYRt2p_f,0.0003,0.0003,0.0003,0.0003,0.0,0.0,0.0003,0.0006,0.0003,0.0002666666666666,0.16992500144267284,0.16992500144267284,0.16992500144267284,0.16992500144267284,,,0.16992500144267284,1.1699250014426728,0.16992500144267284
QULNtm_b,0.0003,0.0002333333333333,0.0003,0.0003,0.0,0.0,0.0003,0.0006,0.0003,0.0002592592592592,0.21056698593998782,-0.15200309344492646,0.21056698593998782,0.21056698593998782,,,0.21056698593998782,1.210566985939988,0.21056698593998782
QULNtm_f,0.0,6.66666666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40740740740741e-06,,3.1699250014423126,,,,,,,
R5PPH,0.0,6.66666666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40740740740741e-06,,3.1699250014423126,,,,,,,
RBK,0.0,0.0,0.0,0.0,0.0,0.0001801740681306,0.0,0.0,0.0,2.00193409034098e-05,,,,,,3.169925001441606,,,
RBTt_b,0.0,0.0004333697184861,0.0006500490259553,0.0003773469711048,0.0006500407188367,0.0003603453060553,0.0,0.0,0.0004098217987045,0.0003201081710158,,0.43703884599465,1.0219890253645247,0.23733219071237457,1.0219705887314285,0.17082054928295975,,,0.3564372210431779
RBTt_f,0.0004097949057431,0.0002166839917846,0.0,0.0,0.0,0.0,0.0006833823560494,0.0006411449436201,0.0,0.0002167784663552,0.9186805959879928,-0.0006288802829103105,,,,,1.65647154594371,1.5644290897537803,
RE2888C_1_b,0.0,0.0,0.0,0.0,0.0,0.0003149990955946,0.0,0.0,0.0,3.49998995105113e-05,,,,,,3.1699250014423046,,,
RE2888C_1_f,0.0002388166471972,0.0003788325462549,0.0003788298163713,0.000219906927115,0.0003788249752224,0.0,0.0003788298144441,0.0003542150693391,0.0002388323196393,0.0002852320128426,-0.25623250479266474,0.40942437004608473,0.4094139738861957,-0.37524286076563923,0.4093955372536083,,0.4094139665468529,0.3124896789627048,-0.2561378304352422
RMI_f,0.0,0.0,0.0,0.0,0.0,0.0008313956539114,0.0,0.0,0.0,9.23772948790449e-05,,,,,,3.169925001442305,,,
RMK,0.0006303228337429,0.0009998750374896,0.0009998678323464,0.0005804132964996,0.0009998550548168,0.0008313956539114,0.0009998678272603,0.0009349006816755,0.0006303641989415,0.0008452069351871,-0.42321367909594887,0.2424431957428861,0.24243279958193875,-0.5422240350700821,0.24241436294883623,-0.023769398735678293,0.24243279224327788,0.14550850465851795,-0.4231190047392533
RMNTt_b,0.0006303228337429,0.0009998750374896,0.0009998678323464,0.0005804132964996,0.0009998550548168,0.0,0.0009998678272603,0.0009349006816755,0.0006303641989415,0.0007528296403081,-0.2562325047919877,0.4094243700468471,0.4094139738859,-0.37524286076612123,0.40939553725279737,,0.40941396654723883,0.3124896789624793,-0.2561378304352921
RMPA_b,0.0,0.0,0.0,0.0,0.0,999999.0,0.0,0.0,0.0,111111.0,,,,,,3.169925001442312,,,
RMPA_f,999999.0,999999.0,999999.0,999999.0,999999.0,0.0008313956539114,999999.0,999999.0,999999.0,888888.000092377,0.16992500129238144,0.16992500129238144,0.16992500129238144,0.16992500129238144,0.16992500129238144,-29.993819298535968,0.16992500129238144,0.16992500129238144,0.16992500129238144
RNDR1,0.0006303228337429,0.0009998750374896,0.0009998678323464,0.0005804132964996,0.0009998550548168,0.0,0.0009998678272603,0.0009349006816755,0.0006303641989415,0.0007528296403081,-0.2562325047919877,0.4094243700468471,0.4094139738859,-0.37524286076612123,0.40939553725279737,,0.40941396654723883,0.3124896789624793,-0.2561378304352921
RPE_f,0.0,0.0,0.0,0.0,0.0,0.723480774280689,0.0,0.0,0.0,0.0803867526978543,,,,,,3.169925001442313,,,
RPI_b,0.0,0.0,0.0,0.0,0.0,0.0022661422024123,0.127764727503765,0.0,0.0,0.0144478744117974,,,,,,-2.6725469578620986,3.144560438457709,,
RPI_f,0.0017180763069531,0.0027253678906473,0.0027253482515273,0.001582037456957,0.0027253134237063,0.0022661422024123,0.0,0.0025482667365912,0.0017181890564266,0.0020009712583579,-0.21990633072483928,0.44575054411398873,0.4457401479530837,-0.33891668669891467,0.4457217113200155,0.17953794963537248,,0.3488158530295906,-0.21981165636815345
SACCD1_b,0.0017180763069531,0.0027253678906473,0.0027253482515273,0.001582037456957,0.0027253134237063,0.0,0.0027253482376641,0.0025482667365912,0.0017181890564266,0.0020519941511637,-0.2562325047919757,0.40942437004685245,0.4094139738859471,-0.3752428607660512,0.40939553725287914,,0.4094139665472996,0.3124896789624543,-0.25613783043529
SADT,0.0072455933429167,0.0,0.0,0.0,0.0,0.016721862696086,0.0,0.0,0.0,0.0026630506710003,1.444023957587949,,,,,2.6505837775989773,,,
SAM24MT,0.0,0.0,0.0005175486435664,0.0058813992565166,0.0,0.0,0.119392949964874,0.0,0.0,0.0139768775405508,,,-4.75520382025452,-1.2488107603235514,,,3.094603648239808,,
SATm,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,1.11111111111129e-05,,,,,,3.16992500144208,,,
SBPP1er,0.0001382787145997,0.0001,0.0001607207185635,0.0001234987119158,0.0001607199426002,0.0,0.0001607207182546,0.000156775345041,0.0001387774489303,0.0001266101777672,0.12718571504570397,-0.34039338283952253,0.3441625364792168,-0.03589738817433552,0.3441555710977942,,0.34416253370640365,0.30830531192083227,0.13237976894075937
SELCYSTL,0.0,0.0,0.0,0.0,0.0,0.0057737270348437,0.0341563359482798,0.0,0.0,0.0044366736647915,,,,,,0.38002446169441795,2.944602874926671,,
SELTORc,0.0,0.0,0.0,0.0,0.0040703791783599,0.0001193085023478,0.0,0.0,0.0,0.0004655208534119,,,,,3.128245494659023,-1.9641489377405312,,,
SELTORm,0.0,0.0,0.0,0.0,0.0001506815081845,0.0,1.68939351869224e-05,0.0,0.0,1.86194937079383e-05,,,,,3.016616629039223,,-0.1403084230858509,,
SERt2r_b,0.0,0.0,0.0,0.0,0.0,0.0018535858724663,0.0,0.0,0.0,0.0002059539858295,,,,,,3.169925001442935,,,
